ID,Item Code,Price List,Rate,Currency,Selling,UOM,Buying,Item Name,Brand,Supplier
f9bd215a28,3636,Standard Selling SAR,10.00,SAR,1,,0,اساور استيل شانل,شانل,
dc01240272,3636,Standard Buying,5.0,SAR,0,Nos,1,اساور استيل شانل,شانل,
ef81714087,6666,Standard Selling SAR,10.00,SAR,1,,0,اساور استيل ماركة مع الخاتم,,
15a79cf821,6666,Standard Buying,5.0,SAR,0,Nos,1,اساور استيل ماركة مع الخاتم,,
12c370fd09,2525,Standard Selling SAR,15.00,SAR,1,,0,اساور زركون مع الخاتم ملون,,
0c06bb74e1,2525,Standard Buying,10.83,SAR,0,Nos,1,اساور زركون مع الخاتم ملون,,
51920b9181,6363,Standard Selling SAR,6.00,SAR,1,,0,اساور زركون طوابق,,
8e54a6d167,6363,Standard Buying,3.0,SAR,0,Nos,1,اساور زركون طوابق,,
1a52f02d10,8.2352,Standard Selling SAR,8.20,SAR,1,,0,اساور زركون بناتي,,
ac3c3d6b9f,8.2352,Standard Buying,6.0,SAR,0,Nos,1,اساور زركون بناتي,,
e7923529f4,5561,Standard Selling SAR,11.76,SAR,1,,0,اساور كرستال مع الخاتم,,
79da999cc9,5561,Standard Buying,8.5,SAR,0,Nos,1,اساور كرستال مع الخاتم,,
2780311720,113135,Standard Selling SAR,0.00,SAR,1,,0,اطواق فيونكه 3 حبه كرت 8 شكل,,
43a92e6f27,113135,Standard Buying,0.96,SAR,0,Nos,1,اطواق فيونكه 3 حبه كرت 8 شكل,,
bf4a11b861,113317,Standard Selling SAR,0.00,SAR,1,,0,اطواق راقي 9 موديل 6/9,,
77e79b9c55,113317,Standard Buying,4.31,SAR,0,Nos,1,اطواق راقي 9 موديل 6/9,,
f8f67802d9,113341,Standard Selling SAR,0.00,SAR,1,,0,اطواق صوف 2 حبه كرت 6 شكل,,
2a25499c54,113341,Standard Buying,1.92,SAR,0,Nos,1,اطواق صوف 2 حبه كرت 6 شكل,,
26a67ffb6a,113342,Standard Selling SAR,0.00,SAR,1,,0,اطواق قماش 3 حبه كرت 8 موديل,,
6e09c9fb4e,113342,Standard Buying,3.64,SAR,0,Nos,1,اطواق قماش 3 حبه كرت 8 موديل,,
93b9a4db54,113345,Standard Selling SAR,0.00,SAR,1,,0,اطواق لولو 2 حبه كرت 7 موديل,,
be99e190f2,113345,Standard Buying,3.83,SAR,0,Nos,1,اطواق لولو 2 حبه كرت 7 موديل,,
490b90f5ca,113390,Standard Selling SAR,0.00,SAR,1,,0,اطواق شتوي عدد 4 شكل 3,,
cc2d9e1aee,113390,Standard Buying,3.83,SAR,0,Nos,1,اطواق شتوي عدد 4 شكل 3,,
b4c8d5b353,6972202211,Standard Selling SAR,7.01,SAR,1,,0,اطواق راقي 8 اشكال 2,,
aeef02708a,00020,Standard Buying,4.82,SAR,0,Nos,1,00020,,
57578789a9,003-4560,Standard Buying,13.75,SAR,0,Nos,1,003-4560,,
3526d968c5,003-4561,Standard Buying,13.75,SAR,0,Nos,1,003-4561,,
e27379598a,003-4562,Standard Buying,13.75,SAR,0,Nos,1,003-4562,,
268fe601f8,003-4563,Standard Buying,13.75,SAR,0,Nos,1,003-4563,,
7b2ae94810,003-4564,Standard Buying,13.75,SAR,0,Nos,1,003-4564,,
aa8aa40b9b,003-4565,Standard Buying,10.0,SAR,0,Nos,1,003-4565,,
8c0249646b,003-4566,Standard Buying,10.0,SAR,0,Nos,1,003-4566,,
7651c5faf6,003-4568,Standard Buying,10.0,SAR,0,Nos,1,003-4568,,
6cc8e621dc,003-4570,Standard Buying,10.0,SAR,0,Nos,1,003-4570,,
d7e95da79f,01111,Standard Selling SAR,25.20,SAR,1,,0,حزامات عريض,,
16a0a258ff,01111,Standard Buying,15.0,SAR,0,Nos,1,حزامات عريض,,
d7e95da79f,01111,Standard Selling SAR,25.20,SAR,1,,0,حزامات جنيهات صغير,,
33faaf5bf1,01111,Standard Buying,13.5,SAR,0,Nos,1,حزامات جنيهات صغير,,
acf6c01b19,01149,Standard Buying,5.0,SAR,0,Nos,1,01149,,
c02433df4c,01163,Standard Buying,6.6,SAR,0,Nos,1,01163,,
cfafa7d80c,01187,Standard Buying,10.0,SAR,0,Nos,1,01187,,
13c1c98d7e,01289,Standard Buying,16.0,SAR,0,Nos,1,01289,,
f72380a0bb,0285425,Standard Buying,22.0,SAR,0,Nos,1,0285425,,
09036fbbe7,0351,Standard Buying,25.0,SAR,0,Nos,1,0351,,
5f90f5cd8d,04736,Standard Buying,20.0,SAR,0,Nos,1,04736,,
47783d138c,060524,Standard Buying,4.58,SAR,0,Nos,1,060524,,
f418cc47a7,064-7,Standard Buying,3.61,SAR,0,Nos,1,064-7,,
a76478f51a,06661,Standard Selling SAR,7.06,SAR,1,,0,اساور رجالي جلد,,
b56055468f,06661,Standard Buying,3.33,SAR,0,Nos,1,اساور رجالي جلد,,
9f6a2acb72,06732,Standard Selling SAR,35.29,SAR,1,,0,سريوم اكليل الجبل,,
49aca11dfc,06732,Standard Buying,30.0,SAR,0,Nos,1,سريوم اكليل الجبل,,
b3bcedaf98,08663,Standard Buying,1.39,SAR,0,Nos,1,08663,,
94edd6a4e7,09276,Standard Buying,25.0,SAR,0,Nos,1,09276,,
a5f8dbbff9,10004,Standard Buying,27.0,SAR,0,Nos,1,10004,,
306b7bf630,10110,Standard Buying,55.0,SAR,0,Nos,1,10110,,
c1d9b0f961,10111,Standard Buying,50.0,SAR,0,Nos,1,10111,,
177b110cf9,10112,Standard Buying,45.0,SAR,0,Nos,1,10112,,
6c77c24eca,10113,Standard Buying,1.67,SAR,0,Nos,1,10113,,
0814b73ec1,10114,Standard Buying,2.33,SAR,0,Nos,1,10114,,
4571857993,10115,Standard Buying,3.0,SAR,0,Nos,1,10115,,
71d3752bba,10116,Standard Buying,5.0,SAR,0,Nos,1,10116,,
0ef4737949,10117,Standard Buying,14.0,SAR,0,Nos,1,10117,,
8e9ad4eb36,10118,Standard Buying,6.0,SAR,0,Nos,1,10118,,
e4a99cb903,10119,Standard Buying,4.0,SAR,0,Nos,1,10119,,
1a6a16901d,10122,Standard Buying,5.83,SAR,0,Nos,1,10122,,
8353bc4ab0,10133,Standard Buying,4.05,SAR,0,Nos,1,10133,,
83bdb68f9f,1014,Standard Buying,30.0,SAR,0,Nos,1,1014,,
14c3bb17ca,1014,Standard Buying,1.67,SAR,0,Nos,1,1014,,
65c552a216,1016A,Standard Buying,30.0,SAR,0,Nos,1,1016A,,
5e1dc43ada,1017,Standard Buying,30.0,SAR,0,Nos,1,1017,,
f922fd7fa0,1017A,Standard Buying,1.67,SAR,0,Nos,1,1017A,,
c4a0afbbcd,1018,Standard Buying,6.08,SAR,0,Nos,1,1018,,
8a643980b7,10183,Standard Buying,4.58,SAR,0,Nos,1,10183,,
fdf2ab660b,10188,Standard Buying,4.16,SAR,0,Nos,1,10188,,
c2c5021d2d,10323,Standard Selling SAR,11.65,SAR,1,,0,اساور كف,,
2069d30d76,10323,Standard Buying,5.5,SAR,0,Nos,1,اساور كف,,
b45003a3b8,1036,Standard Selling SAR,3.53,SAR,1,,0,شفرات حواجب فلمنجو,فلمنجو,
814acc3434,1036,Standard Buying,1.67,SAR,0,Nos,1,شفرات حواجب فلمنجو,فلمنجو,
5f0179e557,10379,Standard Buying,1.38,SAR,0,Nos,1,10379,,
f47d42eb11,10430,Standard Buying,4.17,SAR,0,Nos,1,10430,,
c87997e335,10447,Standard Buying,4.16,SAR,0,Nos,1,10447,,
a389e5ff21,10485,Standard Buying,4.16,SAR,0,Nos,1,10485,,
f877b90d66,10539,Standard Buying,4.16,SAR,0,Nos,1,10539,,
3e889d4330,105392,Standard Buying,13.18,SAR,0,Nos,1,105392,,
a9ba2022d0,10540,Standard Buying,5.8,SAR,0,Nos,1,10540,,
cb6f4fa022,10584,Standard Buying,3.79,SAR,0,Nos,1,10584,,
3fedbd4904,10591,Standard Buying,3.68,SAR,0,Nos,1,10591,,
9ba6a28c30,10607,Standard Buying,4.16,SAR,0,Nos,1,10607,,
903eaf39f5,10683,Standard Buying,4.05,SAR,0,Nos,1,10683,,
065d0fe318,10922,Standard Buying,4.16,SAR,0,Nos,1,10922,,
5c78dc6d3d,10966,Standard Buying,4.16,SAR,0,Nos,1,10966,,
134c8e67b3,109800,Standard Buying,3.33,SAR,0,Nos,1,109800,,
98a2449dd5,11013,Standard Buying,40.0,SAR,0,Nos,1,11013,,
c87a546bca,11024,Standard Buying,4.16,SAR,0,Nos,1,11024,,
be087fe1eb,11031,Standard Buying,4.16,SAR,0,Nos,1,11031,,
a26c9803a3,11083,Standard Buying,45.0,SAR,0,Nos,1,11083,,
b28578d184,1110,Standard Buying,15.0,SAR,0,Nos,1,1110,,
ff462b25bf,11111,Standard Buying,18.0,SAR,0,Nos,1,11111,,
10db90f8f0,1111111111,Standard Selling SAR,2.00,SAR,1,,0,محمد,,
6957ccb94c,1111111111,Standard Buying,1.0,SAR,0,Nos,1,محمد,,
2272456d34,113360,Standard Selling SAR,0.00,SAR,1,,0,ربطة جبين عريض 10 موديل 9/3/7,,
8e44b8ae14,113360,Standard Buying,3.64,SAR,0,Nos,1,ربطة جبين عريض 10 موديل 9/3/7,,
f9108f3855,113371,Standard Selling SAR,0.00,SAR,1,,0,طقم كلبس مع ربطه 10 موديل 2/3,,
a5df80252b,113371,Standard Buying,3.83,SAR,0,Nos,1,طقم كلبس مع ربطه 10 موديل 2/3,,
35d7e201f1,113388,Standard Selling SAR,0.00,SAR,1,,0,طوق بندانه 11 موديل 5/8,,
049a6eceea,113388,Standard Buying,3.64,SAR,0,Nos,1,طوق بندانه 11 موديل 5/8,,
db5e7d038f,113391,Standard Selling SAR,0.00,SAR,1,,0,ربطة شتوي 2 حبة كرت عدد 4 اشكال 1/3,,
1a8faab094,113391,Standard Buying,3.83,SAR,0,Nos,1,ربطة شتوي 2 حبة كرت عدد 4 اشكال 1/3,,
ada9a82fb8,1161,Standard Selling SAR,1.10,SAR,1,,0,باكت مزيل مناكير,,
d6f58c3330,1161,Standard Buying,17.0,SAR,0,Nos,1,باكت مزيل مناكير,,
1f22d93ac5,11672,Standard Buying,86.0,SAR,0,Nos,1,11672,,
79c9c85acd,1187,Standard Selling SAR,1.10,SAR,1,,0,حامورة سحري,,
464712368f,1187,Standard Buying,0.42,SAR,0,Nos,1,حامورة سحري,,
857f755f46,1193,Standard Selling SAR,14.10,SAR,1,,0,هامات رأس بناتي,,
66685a7c78,1193,Standard Buying,7.5,SAR,0,Nos,1,هامات رأس بناتي,,
a805eea7df,1198,Standard Buying,1.67,SAR,0,Nos,1,1198,,
d43a96eab0,1198A,Standard Buying,1.25,SAR,0,Nos,1,1198A,,
658ded8e9f,11991,Standard Buying,59.0,SAR,0,Nos,1,11991,,
fa4cc645fd,1200B,Standard Buying,1.25,SAR,0,Nos,1,1200B,,
fbc14c2bc7,12121,Standard Buying,18.0,SAR,0,Nos,1,12121,,
d6f26a29ab,12121,Standard Buying,0.42,SAR,0,Nos,1,12121,,
2a74f3aa3d,12130,Standard Buying,1.08,SAR,0,Nos,1,12130,,
0bfc40ee19,12456987541180,Standard Selling SAR,0.00,SAR,1,,0,ستن ليكر موديل,,
27623f9fea,125486255552,Standard Buying,1.17,SAR,0,Nos,1,125486255552,,
a80ab51da2,13131,Standard Buying,25.0,SAR,0,Nos,1,13131,,
372fdc9252,13316,Standard Buying,7.05,SAR,0,Nos,1,13316,,
e5ce361f6e,13352,Standard Buying,4.24,SAR,0,Nos,1,13352,,
43f4c467ea,138459,Standard Selling SAR,2.35,SAR,1,,0,تيجان,,
4c7c0bd4e6,138667,Standard Selling SAR,5.88,SAR,1,,0,مطاط برميل جامبو 5 شكل شد 10د 1/4,,
5ce90ec417,138667,Standard Buying,3.83,SAR,0,Nos,1,مطاط برميل جامبو 5 شكل شد 10د 1/4,,
d9520e97bb,138796,Standard Selling SAR,1.17,SAR,1,,0,مطاط 12 كرت كيس 10 اشكال 7/6/8,,
d166b975c5,138796,Standard Buying,0.34,SAR,0,Nos,1,مطاط 12 كرت كيس 10 اشكال 7/6/8,,
ac986416dc,140140,Standard Buying,3.0,SAR,0,Nos,1,140140,,
a7fceca956,14141,Standard Buying,29.0,SAR,0,Nos,1,14141,,
a147397a20,1415,Standard Buying,18.0,SAR,0,Nos,1,1415,,
b8e7644117,14958,Standard Buying,4.16,SAR,0,Nos,1,14958,,
bf0d1c1d5b,1498,Standard Buying,3.0,SAR,0,Nos,1,9200396114638,,
e830bbb1e7,15086,Standard Buying,4.07,SAR,0,Nos,1,15086,,
a47f3862f9,15151,Standard Buying,9.0,SAR,0,Nos,1,15151,,
e2efd6ac85,154237,Standard Selling SAR,0.00,SAR,1,,0,مساك فراشة حبه كبير 6 حبة صغير كرت 8 شكل,,
d1f3aaad9c,154237,Standard Buying,3.83,SAR,0,Nos,1,مساك فراشة حبه كبير 6 حبة صغير كرت 8 شكل,,
865257e775,154392,Standard Buying,2.08,SAR,0,Nos,1,154392,,
b6dfb7c153,154395,Standard Buying,1.38,SAR,0,Nos,1,154395,,
9600f0759c,15496,Standard Buying,25.0,SAR,0,Nos,1,15496,,
118ddc42d3,1585,Standard Buying,4.16,SAR,0,Nos,1,8652369925085,,
136c4216d7,1594,Standard Buying,1.38,SAR,0,Nos,1,6920251542682,,
a1b3de43a6,161770,Standard Selling SAR,0.00,SAR,1,,0,طقم طوق مع كلبس فيونكه 11 موديل 3,,
fe6db1f278,161770,Standard Buying,3.35,SAR,0,Nos,1,طقم طوق مع كلبس فيونكه 11 موديل 3,,
3ccee306eb,161792,Standard Selling SAR,0.00,SAR,1,,0,طقم نظارة مع كلبس عدد 8 اشكال 6/1,,
c2dfa40d9a,161792,Standard Buying,3.35,SAR,0,Nos,1,طقم نظارة مع كلبس عدد 8 اشكال 6/1,,
6dc362d173,161793,Standard Selling SAR,0.00,SAR,1,,0,طقم نظارة مع سلس عدد 8 اشكال 1,,
0bf9e49423,161793,Standard Buying,3.83,SAR,0,Nos,1,طقم نظارة مع سلس عدد 8 اشكال 1,,
e942e948dc,161841,Standard Buying,1.35,SAR,0,Nos,1,161841,,
d860858468,161847,Standard Buying,4.16,SAR,0,Nos,1,161847,,
f18eceb04b,165A,Standard Buying,1.25,SAR,0,Nos,1,165A,,
e024c840e8,16809,Standard Buying,38.0,SAR,0,Nos,1,16809,,
21e5d85d46,16847,Standard Buying,55.0,SAR,0,Nos,1,16847,,
3ed4f66d73,1701,Standard Buying,20.0,SAR,0,Nos,1,8851932469104,,
3c9ffbe028,17026,Standard Buying,1.38,SAR,0,Nos,1,17026,,
316f2a3f8c,1703,Standard Buying,13.0,SAR,0,Nos,1,5912676276076,,
9678074582,1735,Standard Buying,1.25,SAR,0,Nos,1,6977925340419,,
e5f6f47f8e,17948,Standard Buying,4.5,SAR,0,Nos,1,17948,,
fd3cb5f13d,17994,Standard Buying,1.35,SAR,0,Nos,1,17994,,
119af55a73,18223,Standard Buying,4.05,SAR,0,Nos,1,18223,,
f326d719e8,18380,Standard Buying,4.16,SAR,0,Nos,1,18380,,
645be7c45c,1872,Standard Buying,6.83,SAR,0,Nos,1,1872,,
e299f10f77,191004,Standard Buying,42.0,SAR,0,Nos,1,191004,,
b6847f61bc,201842,Standard Buying,2.9,SAR,0,Nos,1,201842,,
a7e11c91f2,2020,Standard Buying,15.0,SAR,0,Nos,1,2020,,
085f2629c8,202020,Standard Buying,0.9,SAR,0,Nos,1,202020,,
4c68796016,202209,Standard Selling SAR,4.65,SAR,1,,0,اقلام روج ميس ديم 2309,,
6a23cafdd9,202209,Standard Buying,2.8,SAR,0,Nos,1,اقلام روج ميس ديم 2309,,
3d07860ab8,20243,Standard Selling SAR,1.10,SAR,1,,0,باكت رموش طبيعي,,
40e521651a,20243,Standard Buying,24.0,SAR,0,Nos,1,باكت رموش طبيعي,,
66a867c42a,20812,Standard Buying,36.0,SAR,0,Nos,1,20812,,
c31bdf147f,20841,Standard Buying,23.0,SAR,0,Nos,1,20841,,
44247279a5,20956,Standard Buying,2.17,SAR,0,Nos,1,20956,,
37f8b2ece3,2121,Standard Selling SAR,15.29,SAR,1,,0,خواتم مع المحبس رزكون,,
a8376721a8,2121,Standard Buying,5.5,SAR,0,Nos,1,خواتم مع المحبس رزكون,,
3409294e0c,21212,Standard Buying,23.0,SAR,0,Nos,1,21212,,
0cd1619c0c,21590,Standard Buying,10.0,SAR,0,Nos,1,21590,,
2464100337,221B,Standard Buying,3.1,SAR,0,Nos,1,221B,,
adc1542edb,2244,Standard Buying,11.6,SAR,0,Nos,1,2244,,
1911803680,22878,Standard Selling SAR,8.20,SAR,1,,0,اساور رجالي نسائي,,
05769ccde3,22878,Standard Buying,3.33,SAR,0,Nos,1,اساور رجالي نسائي,,
e569f08203,23019,Standard Buying,1.38,SAR,0,Nos,1,23019,,
b176b2bbec,23026,Standard Buying,4.16,SAR,0,Nos,1,23026,,
f98055e018,233233,Standard Buying,3.0,SAR,0,Nos,1,233233,,
c5d70537d9,23454,Standard Buying,0.69,SAR,0,Nos,1,23454,,
401ca5d3fe,24025,Standard Buying,1.17,SAR,0,Nos,1,24025,,
9777aeaf88,244244,Standard Buying,2.5,SAR,0,Nos,1,244244,,
a0e4ee49a6,24513,Standard Buying,20.0,SAR,0,Nos,1,24513,,
4ea6395fae,24611,Standard Buying,55.0,SAR,0,Nos,1,24611,,
8f12ab5a86,25092,Standard Buying,1.38,SAR,0,Nos,1,25092,,
5eb731bb50,25146,Standard Buying,4.16,SAR,0,Nos,1,25146,,
6c11a7ba92,2520,Standard Buying,1.04,SAR,0,Nos,1,2520,,
8138935445,25351,Standard Buying,1.0,SAR,0,Nos,1,25351,,
a97b7f8659,25560,Standard Selling SAR,5.88,SAR,1,,0,علب سحاب مربع وسط,,
b5996cf8d2,25560,Standard Buying,2.5,SAR,0,Nos,1,علب سحاب مربع وسط,,
714fc6cb85,25561,Standard Selling SAR,7.06,SAR,1,,0,علب سحاب مربع كبير,,
49fd6b43f1,25561,Standard Buying,2.92,SAR,0,Nos,1,علب سحاب مربع كبير,,
296360d193,25562,Standard Selling SAR,5.88,SAR,1,,0,علب سحاب اساور طويل,,
96ba416e9f,25562,Standard Buying,2.5,SAR,0,Nos,1,علب سحاب اساور طويل,,
1a30dfbda6,25563,Standard Selling SAR,4.65,SAR,1,,0,علب اساور طويل,,
b0973de02b,25563,Standard Buying,1.67,SAR,0,Nos,1,علب اساور طويل,,
62d9d29ca8,25564,Standard Selling SAR,4.65,SAR,1,,0,علب خواتم مربع,,
0ed2bbfbf5,25564,Standard Buying,1.67,SAR,0,Nos,1,علب خواتم مربع,,
d499739c13,25565,Standard Selling SAR,5.88,SAR,1,,0,علب خواتم قطيفة,,
d2a63e0cb4,25565,Standard Buying,2.5,SAR,0,Nos,1,علب خواتم قطيفة,,
a5ed190510,25566,Standard Selling SAR,5.88,SAR,1,,0,علب طقوم وسط,,
291870879d,25566,Standard Buying,2.5,SAR,0,Nos,1,علب طقوم وسط,,
62d1272e9b,26-2862,Standard Buying,24.67,SAR,0,Nos,1,26-2862,,
169dc57a27,26-5569,Standard Buying,21.25,SAR,0,Nos,1,26-5569,,
2c6ce77fa8,26-AF8808,Standard Buying,24.67,SAR,0,Nos,1,26-AF8808,,
543661e5d2,26-SDR-211,Standard Buying,21.25,SAR,0,Nos,1,26-SDR-211,,
28aa10a830,263,Standard Buying,9.0,SAR,0,Nos,1,263,,
fa7233e732,26411,Standard Buying,10.0,SAR,0,Nos,1,26411,,
ccdb0f9f36,26677,Standard Selling SAR,55.00,SAR,1,,0,كريم ستافيل,,
7747070337,26677,Standard Buying,45.0,SAR,0,Nos,1,كريم ستافيل,,
b54f5b0a1a,2676,Standard Buying,22.0,SAR,0,Nos,1,2676,,
896baf798f,27066,Standard Buying,40.0,SAR,0,Nos,1,27066,,
b879fe5b0f,272B,Standard Buying,1.25,SAR,0,Nos,1,272B,,
21afd7e769,28568,Standard Buying,3.0,SAR,0,Nos,1,28568,,
7bd2a66803,28860,Standard Buying,150.0,SAR,0,Nos,1,28860,,
b83b8d992e,3,Standard Selling SAR,50.00,SAR,1,,0,cheese burger,,
3755119f87,3007546,Standard Buying,8.71,SAR,0,Nos,1,3007546,,
5812c8db5c,30148,Standard Buying,13.93,SAR,0,Nos,1,30148,,
95ecb15bc0,3045,Standard Buying,4.16,SAR,0,Nos,1,3045,,
fda55fd364,30706,Standard Buying,14.0,SAR,0,Nos,1,30706,,
f6fdc4f693,30782,Standard Selling SAR,3.53,SAR,1,,0,بوش مجموعة,,
a53c022cc9,30782,Standard Buying,2.5,SAR,0,Nos,1,بوش مجموعة,,
898b1a395a,309808,Standard Buying,3.75,SAR,0,Nos,1,309808,,
969c234472,309934,Standard Buying,2.08,SAR,0,Nos,1,309934,,
3ff619d874,3113,Standard Buying,30.0,SAR,0,Nos,1,3113,,
c7fad8fb48,31313,Standard Buying,60.0,SAR,0,Nos,1,31313,,
d12aba0ee0,31545,Standard Selling SAR,10.00,SAR,1,,0,سلوس بناتي دمعة,,
c61295913a,31545,Standard Buying,5.0,SAR,0,Nos,1,سلوس بناتي دمعة,,
bde554cc8b,31569,Standard Selling SAR,2.35,SAR,1,,0,تيجان بناتي,,
f05e4ef175,31569,Standard Buying,0.83,SAR,0,Nos,1,تيجان بناتي,,
061ab44aea,31890,Standard Buying,0.92,SAR,0,Nos,1,31890,,
fe664bdb0b,33550,Standard Buying,54.0,SAR,0,Nos,1,33550,,
75f9d2e9ac,34020,Standard Buying,1.38,SAR,0,Nos,1,34020,,
60bb0d830b,34060,Standard Buying,55.0,SAR,0,Nos,1,34060,,
209af1d0f6,34218,Standard Buying,4.16,SAR,0,Nos,1,34218,,
a41daee244,3434,Standard Selling SAR,11.65,SAR,1,,0,سلوس فايتي كليف,فايتي,
413794331d,3434,Standard Buying,7.5,SAR,0,Nos,1,سلوس فايتي كليف,فايتي,
b9d559aa72,34919,Standard Buying,22.0,SAR,0,Nos,1,34919,,
22639ecf9e,350590,Standard Selling SAR,4.65,SAR,1,,0,روج  سائل 330411,,
bd9d45515c,350590,Standard Buying,1.88,SAR,0,Nos,1,روج  سائل 330411,,
6323087e9a,35306,Standard Buying,125.0,SAR,0,Nos,1,35306,,
4f9826feff,3709,Standard Buying,35.0,SAR,0,Nos,1,3709,,
9c3cf17a9c,37101,Standard Buying,12.0,SAR,0,Nos,1,37101,,
b7aa44ee09,37190,Standard Buying,54.0,SAR,0,Nos,1,37190,,
293eac8e05,3737,Standard Selling SAR,15.20,SAR,1,,0,اساور مسمار,,
9b314cdb15,3737,Standard Buying,9.0,SAR,0,Nos,1,اساور مسمار,,
114b467f04,37897,Standard Buying,16.0,SAR,0,Nos,1,37897,,
ffa7463cfc,3817,Standard Buying,25.0,SAR,0,Nos,1,3817,,
0ce2a27015,38405,Standard Buying,15.0,SAR,0,Nos,1,38405,,
81a8e89def,38436,Standard Buying,15.0,SAR,0,Nos,1,38436,,
46289c75fa,38573,Standard Buying,16.0,SAR,0,Nos,1,38573,,
749fcf7ecc,38597,Standard Buying,12.0,SAR,0,Nos,1,38597,,
6859dcd278,38610,Standard Buying,15.0,SAR,0,Nos,1,38610,,
5f49d9ad23,38849,Standard Buying,12.0,SAR,0,Nos,1,38849,,
ff4147f231,38877,Standard Buying,4.16,SAR,0,Nos,1,38877,,
a9cfbd7442,39068,Standard Buying,15.0,SAR,0,Nos,1,39068,,
056683c06d,39523,Standard Buying,4.16,SAR,0,Nos,1,39523,,
f1da72dfef,39570,Standard Buying,5.0,SAR,0,Nos,1,39570,,
3550967a4f,39615,Standard Buying,4.16,SAR,0,Nos,1,39615,,
9de78176a9,400101,Standard Selling SAR,3.53,SAR,1,,0,قطب كرت نيو مارك,,
64f4540c58,400101,Standard Buying,1.67,SAR,0,Nos,1,قطب كرت نيو مارك,,
b12bf90730,40061,Standard Buying,2.33,SAR,0,Nos,1,40061,,
dae826edde,401184,Standard Buying,8.0,SAR,0,Nos,1,401184,,
0970150ada,40313,Standard Buying,25.0,SAR,0,Nos,1,40313,,
ff38109070,40358,Standard Selling SAR,4.65,SAR,1,,0,اقلام ديموند 9244,,
bc626bcab4,40358,Standard Buying,1.01,SAR,0,Nos,1,اقلام ديموند 9244,,
9d3b3d5e2a,40390,Standard Buying,10.0,SAR,0,Nos,1,40390,,
e8f62c524b,40400,Standard Buying,0.83,SAR,0,Nos,1,40400,,
9cde235cfc,40421,Standard Buying,35.0,SAR,0,Nos,1,40421,,
6a8be655ca,40831,Standard Buying,18.0,SAR,0,Nos,1,40831,,
d58080ddea,4091,Standard Buying,1.5,SAR,0,Nos,1,4091,,
5ba4b0e6e8,4114,Standard Buying,25.0,SAR,0,Nos,1,4114,,
b48f9942a6,4119,Standard Selling SAR,1.10,SAR,1,,0,اسفنج مائي,,
3c9edec71e,4119,Standard Buying,0.71,SAR,0,Nos,1,اسفنج مائي,,
01fbf6d933,41278,Standard Buying,18.0,SAR,0,Nos,1,41278,,
931ddc6042,41414,Standard Buying,60.0,SAR,0,Nos,1,41414,,
1abefeee84,41414,Standard Selling SAR,3.53,SAR,1,,0,قطب كرز,,
f8e33cf679,41414,Standard Buying,1.08,SAR,0,Nos,1,قطب كرز,,
8656e82fa5,41451,Standard Buying,1.38,SAR,0,Nos,1,41451,,
