Odoo Variant ID,Odoo Template ID,Item Code,Barcode,Buying Rate,Source File,Issue
422,593,S160005,ٍ160005,15.33,backup,Template row missing in dump
423,594,S160016,ٍ160016,15.33,backup,Template row missing in dump
424,595,S160008,ٍ160008,15.33,backup,Template row missing in dump
458,629,B293653,B293653,46.0,backup,Template row missing in dump
459,630,B292217,B292217,46.0,backup,Template row missing in dump
460,631,B293583,B293583,46.0,backup,Template row missing in dump
461,632,B293602,B293602,46.0,backup,Template row missing in dump
705,872,552869,5528699123923,2.3,backup,Template row missing in dump
726,893,B2939,B293996,40.25,backup,Template row missing in dump
727,894,B2935,B293561,46.0,backup,Template row missing in dump
728,895,B2937,B293719,46.0,backup,Template row missing in dump
738,905,B29390,B293907,40.25,backup,Template row missing in dump
739,906,B22939,B293998,46.0,backup,Template row missing in dump
740,907,B29364,B293641,46.0,backup,Template row missing in dump
741,908,B29398,B293985,46.0,backup,Template row missing in dump
742,909,B29371,B293717,46.0,backup,Template row missing in dump
924,1123,4646,464646,22.0,backup,Template row missing in dump
925,1124,4747,474747,22.0,backup,Template row missing in dump
926,1125,4848,484848,8.5,backup,Template row missing in dump
927,1126,4949,494949,4.5,backup,Template row missing in dump
928,1127,5050,505050,6.0,backup,Template row missing in dump
929,1128,5151,515151,6.0,backup,Template row missing in dump
930,1129,5252,525252,1.42,backup,Template row missing in dump
931,1130,5353,535353,1.5,backup,Template row missing in dump
932,1131,5454,545454,1.67,backup,Template row missing in dump
933,1132,5555,555555,1.25,backup,Template row missing in dump
934,1133,5656,565656,2.75,backup,Template row missing in dump
935,1134,5757,575757,3.0,backup,Template row missing in dump
936,1135,5858,585858,3.5,backup,Template row missing in dump
937,1136,5959,595959,2.5,backup,Template row missing in dump
938,1137,6060,606060,3.5,backup,Template row missing in dump
987,1186,AS-513513,513513513,7.0,backup,Template row missing in dump
988,1187,AS-3215,32153215,1.5,backup,Template row missing in dump
989,1188,AS-5046,50465046,5.5,backup,Template row missing in dump
990,1189,AS-4520-2,4520245202,4.5,backup,Template row missing in dump
991,1190,AS-4932,49324932,2.92,backup,Template row missing in dump
992,1191,AS-5348,53485348,2.67,backup,Template row missing in dump
993,1192,AS-5349,125125125,1.6,backup,Template row missing in dump
994,1193,AS-5654,56545654,2.08,backup,Template row missing in dump
1052,1269,690442578301,6904425783019,0.92,backup,Template row missing in dump
1053,1270,694605123971,6946051239713,0.75,backup,Template row missing in dump
1054,1271,125486255552,12548625555211,1.17,backup,Template row missing in dump
1055,1272,9997991,9507779997991,1.5,backup,Template row missing in dump
1056,1273,950777999799,9507779997992,2.5,backup,Template row missing in dump
1057,1274,49280,4928049280,2.75,backup,Template row missing in dump
1058,1275,140140,140140140,3.0,backup,Template row missing in dump
1059,1276,233233,111233233,3.0,backup,Template row missing in dump
1060,1277,244244,111244244,2.5,backup,Template row missing in dump
1061,1278,12130,12130130,1.08,backup,Template row missing in dump
1209,1394,263,6933885500263,9.0,backup,Template row missing in dump
1210,1395,40831,6974479440831,18.0,backup,Template row missing in dump
1211,1396,91000,6970975191000,28.0,backup,Template row missing in dump
1212,1397,83232,6971204783232,22.5,backup,Template row missing in dump
1213,1398,48538,6903645548538,18.0,backup,Template row missing in dump
1214,1399,30706,725272730706,14.0,backup,Template row missing in dump
1215,1400,24025,6937803924025,1.17,backup,Template row missing in dump
1216,1401,3817,PB2501010203817,25.0,backup,Template row missing in dump
1247,1432,6437,100106437,50.0,backup,Template row missing in dump
1248,1433,6432,100106432,35.0,backup,Template row missing in dump
1249,1434,3113,100113113,30.0,backup,Template row missing in dump
1250,1435,4114,100114114,25.0,backup,Template row missing in dump
1251,1436,5115,100115115,21.0,backup,Template row missing in dump
1252,1437,6116,100116116,15.0,backup,Template row missing in dump
1253,1438,7117,100117117,60.0,backup,Template row missing in dump
1254,1439,8118,100118118,80.0,backup,Template row missing in dump
1255,1440,10004,540010004,27.0,backup,Template row missing in dump
1256,1441,6386,100106386,20.0,backup,Template row missing in dump
1257,1442,6377,100106377,15.0,backup,Template row missing in dump
1258,1443,6265,243A16265,35.0,backup,Template row missing in dump
1259,1444,6400,100106400,25.0,backup,Template row missing in dump
1260,1445,9119,100119119,22.0,backup,Template row missing in dump
1261,1446,1110,10011101110,15.0,backup,Template row missing in dump
1281,1466,26-SDR-211,SDR211211,21.25,backup,Template row missing in dump
1282,1467,26-2862,28622862,24.67,backup,Template row missing in dump
1283,1468,26-AF8808,88088808,24.67,backup,Template row missing in dump
1284,1469,26-5569,55695569,21.25,backup,Template row missing in dump
1328,1513,40061,9551001840061,2.33,backup,Template row missing in dump
1329,1514,10122,110110122,5.83,backup,Template row missing in dump
1330,1515,10111,110110111,50.0,backup,Template row missing in dump
1331,1516,10112,110110112,45.0,backup,Template row missing in dump
1332,1517,10113,110110113,1.67,backup,Template row missing in dump
1333,1518,10114,110110114,2.33,backup,Template row missing in dump
1334,1519,10115,110110115,3.0,backup,Template row missing in dump
1335,1520,10116,110110116,5.0,backup,Template row missing in dump
1336,1521,10117,110110117,14.0,backup,Template row missing in dump
1337,1522,10118,110110118,6.0,backup,Template row missing in dump
1338,1523,10119,110110119,4.0,backup,Template row missing in dump
1339,1524,10110,110110110,55.0,backup,Template row missing in dump
1340,1525,11013,11011013,40.0,backup,Template row missing in dump
1359,1544,51392,6946038651392,96.0,backup,Template row missing in dump
1360,1545,51415,6946038651415,80.0,backup,Template row missing in dump
1361,1546,85476,6922965185476,110.0,backup,Template row missing in dump
1362,1547,11672,6942257011672,86.0,backup,Template row missing in dump
1363,1548,35306,6281056335306,125.0,backup,Template row missing in dump
1364,1549,96161,6922446096161,130.0,backup,Template row missing in dump
1365,1550,87307,5060518887307,162.0,backup,Template row missing in dump
1366,1551,46122,6974772946122,90.0,backup,Template row missing in dump
1367,1552,62898,156486456162898,175.0,backup,Template row missing in dump
1368,1553,90715,6922965190715,60.0,backup,Template row missing in dump
1369,1554,56787,897865456456787,175.0,backup,Template row missing in dump
1370,1555,68160,6972943768160,55.0,backup,Template row missing in dump
1371,1556,28860,6291108528860,150.0,backup,Template row missing in dump
1372,1557,90784,6922965190784,30.0,backup,Template row missing in dump
1395,1580,8555,5558888555,1.25,backup,Template row missing in dump
1396,1581,742226,9055740299062,12.0,backup,Template row missing in dump
1397,1582,743622,9160060587857,12.0,backup,Template row missing in dump
1398,1583,742579,7923884103502,10.0,backup,Template row missing in dump
1399,1584,743489,6725487120396,12.0,backup,Template row missing in dump
1400,1585,743606,7176209262822,12.0,backup,Template row missing in dump
1401,1586,742024,4795293571059,12.0,backup,Template row missing in dump
1402,1587,743066,3591919882360,12.0,backup,Template row missing in dump
1403,1588,743565,743565-2,12.0,backup,Template row missing in dump
1404,1589,742851,3497910689208,12.0,backup,Template row missing in dump
1405,1590,742904,7997910438715,12.0,backup,Template row missing in dump
1406,1591,742786,3035411949676,10.0,backup,Template row missing in dump
1407,1592,741975,5726738519106,12.0,backup,Template row missing in dump
1408,1593,744107,7279031986079,12.0,backup,Template row missing in dump
1409,1594,743600,743600-2,12.0,backup,Template row missing in dump
1410,1595,741983,7560980367263,10.0,backup,Template row missing in dump
1411,1596,742028,1265128591369,12.0,backup,Template row missing in dump
1412,1597,741501,7529067516208,12.0,backup,Template row missing in dump
1413,1598,741442,9808036205380,12.0,backup,Template row missing in dump
1414,1599,742896,6072988649711,12.0,backup,Template row missing in dump
1439,1624,740404,0863765019720,8.0,backup,Template row missing in dump
1440,1625,741489,9975507493062,8.0,backup,Template row missing in dump
1441,1626,743070,4853792486035,12.0,backup,Template row missing in dump
1442,1627,742954,6497698312876,12.0,backup,Template row missing in dump
1443,1628,43213,743213,12.0,backup,Template row missing in dump
1444,1629,721588,721588-2,11.7,backup,Template row missing in dump
1445,1630,721589,721589-2,10.0,backup,Template row missing in dump
1446,1631,721587,721587-3,11.7,backup,Template row missing in dump
1447,1632,721502,5256367739854,10.0,backup,Template row missing in dump
1448,1633,721501,3970357621500,16.0,backup,Template row missing in dump
1449,1634,721496,8410664651975,16.0,backup,Template row missing in dump
1450,1635,721497,1277080562172,12.0,backup,Template row missing in dump
1451,1636,21590,721590,10.0,backup,Template row missing in dump
1452,1637,721592,3783284477894,11.7,backup,Template row missing in dump
1453,1638,750710,3149990212653,48.0,backup,Template row missing in dump
1454,1639,750712,1157508895719,24.0,backup,Template row missing in dump
1455,1640,750714,7543289076746,24.0,backup,Template row missing in dump
1456,1641,750711,8374528204878,48.0,backup,Template row missing in dump
1457,1642,750713,9934886693616,160.0,backup,Template row missing in dump
1458,1643,790800,9371005778074,320.0,backup,Template row missing in dump
1479,1664,47535,6977740247535,2.08,backup,Template row missing in dump
1480,1665,20841,6907240320841,23.0,backup,Template row missing in dump
1481,1666,56649,6985948556649,1.25,backup,Template row missing in dump
1482,1667,51515,5000151515,4.17,backup,Template row missing in dump
1483,1668,61616,5000161616,2.5,backup,Template row missing in dump
1484,1669,71717,5000171717,3.0,backup,Template row missing in dump
1485,1670,5786,57865786,0.5,backup,Template row missing in dump
1487,1672,81818,5000181818,1.92,backup,Template row missing in dump
1488,1673,55045,50455045,0.75,backup,Template row missing in dump
1489,1674,5044,50445044,0.7,backup,Template row missing in dump
1490,1675,5058,50585058,1.0,backup,Template row missing in dump
1491,1676,5568,55685568,1.25,backup,Template row missing in dump
1492,1677,5801,58015801,0.5,backup,Template row missing in dump
1493,1678,202020,5000202020,0.9,backup,Template row missing in dump
1494,1679,12121,5000212121,0.42,backup,Template row missing in dump
1495,1680,55421,5000655421,0.36,backup,Template row missing in dump
1496,1681,4091,40914091,1.5,backup,Template row missing in dump
1497,1682,28568,6925832828568,3.0,backup,Template row missing in dump
1498,1683,,9200396114638,3.0,backup,Template row missing in dump
1499,1684,20956,6973911220956,2.17,backup,Template row missing in dump
1505,1690,09276,6923656109276,25.0,backup,Template row missing in dump
1506,1691,809129,6930274809129,23.0,backup,Template row missing in dump
1507,1692,15496,6974482515496,25.0,backup,Template row missing in dump
1508,1693,95776,3506822095776,2.75,backup,Template row missing in dump
1509,1694,90356,6971260890356,2.83,backup,Template row missing in dump
1510,1695,45617,7509552845617,20.5,backup,Template row missing in dump
1511,1696,24513,3600531324513,20.0,backup,Template row missing in dump
1512,1697,41278,3600530941278,18.0,backup,Template row missing in dump
1513,1698,94138,9767013694138,8.0,backup,Template row missing in dump
1514,1699,401184,8310039401184,8.0,backup,Template row missing in dump
1515,1700,58174,9112912458174,9.0,backup,Template row missing in dump
1525,1710,064-7,6971606200641,3.61,backup,Template row missing in dump
1526,1711,221B,6971606202218,3.1,backup,Template row missing in dump
1527,1712,272B,1801025620025,1.25,backup,Template row missing in dump
1528,1713,165A,2097281338975,1.25,backup,Template row missing in dump
1529,1714,1014,3846441975494,30.0,backup,Template row missing in dump
1530,1715,1198A,6971606210169,1.25,backup,Template row missing in dump
1531,1716,1200B,6971606512003,1.25,backup,Template row missing in dump
1532,1717,1016A,2282471632685,30.0,backup,Template row missing in dump
1533,1718,1017,5572616423399,30.0,backup,Template row missing in dump
1534,1719,10430,6920257910430,4.17,backup,Template row missing in dump
1535,1720,790794,5671382752044,9.46,backup,Template row missing in dump
1536,1721,791052,6920257910522,1.04,backup,Template row missing in dump
1537,1722,790778,6901790778022,1.39,backup,Template row missing in dump
1538,1723,791097,6920257910973,4.48,backup,Template row missing in dump
1539,1724,2520,6882169872520,1.04,backup,Template row missing in dump
1540,1725,10379,6947247910379,1.38,backup,Template row missing in dump
1541,1726,10584,6920257910584,3.79,backup,Template row missing in dump
1542,1727,10966,6920257910966,4.16,backup,Template row missing in dump
1543,1728,10922,6979077910922,4.16,backup,Template row missing in dump
1544,1729,10485,6920257910485,4.16,backup,Template row missing in dump
1548,1733,5009695,9853415009695,4.05,backup,Template row missing in dump
1549,1734,11024,6920257911024,4.16,backup,Template row missing in dump
1550,1735,11031,6920257911031,4.16,backup,Template row missing in dump
1551,1736,10539,6920257910539,4.16,backup,Template row missing in dump
1552,1737,10607,6920257910607,4.16,backup,Template row missing in dump
1553,1738,10133,6920257910133,4.05,backup,Template row missing in dump
1554,1739,10188,6920257910188,4.16,backup,Template row missing in dump
1555,1740,08663,6912347908663,1.39,backup,Template row missing in dump
1556,1741,10447,6920257910447,4.16,backup,Template row missing in dump
1557,1742,23019,6920138823019,1.38,backup,Template row missing in dump
1558,1743,791067,6920257910676,4.06,backup,Template row missing in dump
1559,1744,10591,6920257910591,3.68,backup,Template row missing in dump
1560,1745,18223,6912341618223,4.05,backup,Template row missing in dump
1561,1746,39523,6922211339523,4.16,backup,Template row missing in dump
1562,1747,39615,6922211339615,4.16,backup,Template row missing in dump
1563,1748,82518,6935356582518,4.16,backup,Template row missing in dump
1564,1749,41451,6920511341451,1.38,backup,Template row missing in dump
1565,1750,161847,6950151618477,4.16,backup,Template row missing in dump
1566,1751,18380,2025001618380,4.16,backup,Template row missing in dump
1567,1752,56213,1617941256213,2.08,backup,Template row missing in dump
1568,1753,56210,1617951256210,2.08,backup,Template row missing in dump
1569,1754,161841,6902025121231,1.35,backup,Template row missing in dump
1570,1755,88422,6912311388422,1.38,backup,Template row missing in dump
1571,1756,17026,6920251117026,1.38,backup,Template row missing in dump
1572,1757,87621,6912191387621,4.06,backup,Template row missing in dump
1573,1758,88015,6925261388015,1.35,backup,Template row missing in dump
1574,1759,71425,6912316171425,2.02,backup,Template row missing in dump
1575,1760,88289,6900001388289,1.38,backup,Template row missing in dump
1576,1761,88128,6900001388128,1.38,backup,Template row missing in dump
1577,1762,61839,6920250161839,4.16,backup,Template row missing in dump
1578,1763,23026,6920138823026,4.16,backup,Template row missing in dump
1579,1764,34218,6932021134218,4.16,backup,Template row missing in dump
1580,1765,83919,6925213883919,1.35,backup,Template row missing in dump
1581,1766,23454,6932025123454,0.69,backup,Template row missing in dump
1582,1767,78813,6912316178813,1.83,backup,Template row missing in dump
1583,1768,17994,2025001617994,1.35,backup,Template row missing in dump
1584,1769,10683,6920257910683,4.05,backup,Template row missing in dump
1585,1770,,8652369925085,4.16,backup,Template row missing in dump
1586,1771,154392,6930381543923,2.08,backup,Template row missing in dump
1587,1772,43825,6920251543825,2.08,backup,Template row missing in dump
1588,1773,43788,6920251543788,4.16,backup,Template row missing in dump
1589,1774,25092,8652369925092,1.38,backup,Template row missing in dump
1590,1775,43863,6920251543863,1.38,backup,Template row missing in dump
1591,1776,25146,8652369925146,4.16,backup,Template row missing in dump
1592,1777,34020,6957601134020,1.38,backup,Template row missing in dump
1593,1778,154395,6930381543954,1.38,backup,Template row missing in dump
1594,1779,,6920251542682,1.38,backup,Template row missing in dump
1595,1780,43930,6930381543930,2.08,backup,Template row missing in dump
1596,1781,78252,6935356578252,4.16,backup,Template row missing in dump
1598,1783,14958,6912191214958,4.16,backup,Template row missing in dump
1599,1784,38877,138877,4.16,backup,Template row missing in dump
1600,1785,9801,6920250649801,1.35,backup,Template row missing in dump
1601,1786,6151,3499775636151,8.38,backup,Template row missing in dump
1604,1789,3045,6940791023045,4.16,backup,Template row missing in dump
1605,1790,1017A,6971606210176,1.67,backup,Template row missing in dump
1606,1791,PH-272,6971606202720,1.67,backup,Template row missing in dump
1607,1792,1198,6971606511983,1.67,backup,Template row missing in dump
1608,1793,1014,6971606210145,1.67,backup,Template row missing in dump
1624,1821,11111,4000111111,18.0,backup,Template row missing in dump
1625,1822,21212,4000121212,23.0,backup,Template row missing in dump
1626,1823,31313,4000131313,60.0,backup,Template row missing in dump
1627,1824,41414,4000141414,60.0,backup,Template row missing in dump
1628,1825,51515,4000151515,60.0,backup,Template row missing in dump
1629,1826,61616,4000161616,5.0,backup,Template row missing in dump
1630,1827,71717,4000171717,5.4,backup,Template row missing in dump
1631,1828,81818,4000181818,2.1,backup,Template row missing in dump
1632,1829,91919,4000191919,9.12,backup,Template row missing in dump
1633,1830,2020,4000202020,15.0,backup,Template row missing in dump
1634,1831,12121,4000212121,18.0,backup,Template row missing in dump
1635,1832,13131,4000313131,25.0,backup,Template row missing in dump
1636,1833,14141,4000414141,29.0,backup,Template row missing in dump
1637,1834,15151,4000515151,9.0,backup,Template row missing in dump
1644,1841,51062,000006251062,1.5,backup,Template row missing in dump
1645,1842,105392,8998866105392,13.18,backup,Template row missing in dump
1646,1843,58439,8992803658439,6.0,backup,Template row missing in dump
1647,1844,00020,8904047600020,4.82,backup,Template row missing in dump
1648,1845,67122,6281006567122,8.0,backup,Template row missing in dump
1649,1846,80088,7160934480088,2.24,backup,Template row missing in dump
1650,1847,13352,6973390713352,4.24,backup,Template row missing in dump
1651,1848,13316,6905624813316,7.05,backup,Template row missing in dump
1652,1849,3007546,8904023007546,8.71,backup,Template row missing in dump
1653,1850,44277,0376662844277,1.17,backup,Template row missing in dump
1654,1851,84072,6041216184072,6.12,backup,Template row missing in dump
1655,1852,8407,8809426813865,7.26,backup,Template row missing in dump
1656,1853,22338,3353728522338,,backup,Template row missing in dump
1657,1854,12861,9248915212861,,backup,Template row missing in dump
1658,1855,5897,8888086785897,13.5,backup,Template row missing in dump
1659,1856,1872,4800888221872,6.83,backup,Template row missing in dump
1660,1857,2244,9005800352244,11.6,backup,Template row missing in dump
1661,1858,9281,8999777009281,5.4,backup,Template row missing in dump
1662,1859,2676,011111022676,22.0,backup,Template row missing in dump
1663,1860,4653,011111054653,28.0,backup,Template row missing in dump
1664,1861,1415,4000196901415,18.0,backup,Template row missing in dump
1665,1862,01187,4000196901187,10.0,backup,Template row missing in dump
1666,1863,01163,4000196901163,6.6,backup,Template row missing in dump
1667,1864,01149,4000196901149,5.0,backup,Template row missing in dump
1668,1865,84810,6970873984810,8.66,backup,Template row missing in dump
1669,1866,16847,3337875816847,55.0,backup,Template row missing in dump
1670,1867,16809,3337875816809,38.0,backup,Template row missing in dump
1671,1868,11991,3337872411991,59.0,backup,Template row missing in dump
1672,1869,11083,3337872411083,45.0,backup,Template row missing in dump
1673,1870,6477,8809875456477,52.0,backup,Template row missing in dump
1674,1871,94026,3600523494026,35.0,backup,Template row missing in dump
1679,1876,24611,072140024611,55.0,backup,Template row missing in dump
1680,1877,97180,3337875597180,45.0,backup,Template row missing in dump
1681,1878,93583,4550516493583,30.0,backup,Template row missing in dump
1682,1879,0285425,3014260285425,22.0,backup,Template row missing in dump
1683,1880,34919,7702018334919,22.0,backup,Template row missing in dump
1684,1881,87230,7702018587230,33.0,backup,Template row missing in dump
1685,1882,4705,033200194705,8.45,backup,Template row missing in dump
1686,1883,91230,033200191230,6.5,backup,Template row missing in dump
1687,1884,77092,3401399277092,57.0,backup,Template row missing in dump
1688,1885,3709,3401578653709,35.0,backup,Template row missing in dump
1689,1886,40313,010181040313,25.0,backup,Template row missing in dump
1690,1887,0351,010181040351,25.0,backup,Template row missing in dump
1691,1888,7210,3337875597210,46.0,backup,Template row missing in dump
1692,1889,39570,8809596939570,5.0,backup,Template row missing in dump
1693,1890,27066,303160227066,40.0,backup,Template row missing in dump
1694,1891,70016,8809416470016,36.0,backup,Template row missing in dump
1695,1892,70009,8809416470009,36.0,backup,Template row missing in dump
1696,1893,37190,8809640737190,54.0,backup,Template row missing in dump
1697,1894,33550,8809640733550,54.0,backup,Template row missing in dump
1698,1895,04736,077043104736,20.0,backup,Template row missing in dump
1699,1896,41456,052336341456,10.0,backup,Template row missing in dump
1700,1897,40421,3401348840421,35.0,backup,Template row missing in dump
1701,1898,,8851932469104,20.0,backup,Template row missing in dump
1702,1899,81947,8999999581947,13.0,backup,Template row missing in dump
1703,1900,,5912676276076,13.0,backup,Template row missing in dump
1704,1901,20812,8809700320812,36.0,backup,Template row missing in dump
1705,1902,93831,8809305993831,38.0,backup,Template row missing in dump
1706,1903,61172,8809576261172,40.0,backup,Template row missing in dump
1707,1904,01289,5017007601289,16.0,backup,Template row missing in dump
1708,1905,34060,769915234060,55.0,backup,Template row missing in dump
1709,1906,90311,769915190311,35.0,backup,Template row missing in dump
1710,1907,191004,769915191004,42.0,backup,Template row missing in dump
1711,1908,90670,769915190670,42.0,backup,Template row missing in dump
1712,1909,84535,772618084535,50.0,backup,Template row missing in dump
1713,1910,56109,0506699456109,34.0,backup,Template row missing in dump
1714,1911,54094,3760237854094,24.0,backup,Template row missing in dump
1724,1921,003-4562,6288002810757,13.75,backup,Template row missing in dump
1725,1922,003-4563,6288002810764,13.75,backup,Template row missing in dump
1726,1923,003-4560,6288002810733,13.75,backup,Template row missing in dump
1727,1924,003-4565,6288002811457,10.0,backup,Template row missing in dump
1728,1925,003-4566,6288002811471,10.0,backup,Template row missing in dump
1729,1926,003-4568,6288002811488,10.0,backup,Template row missing in dump
1730,1927,003-4561,6288002810740,13.75,backup,Template row missing in dump
1731,1928,003-4564,6288002810771,13.75,backup,Template row missing in dump
1732,1929,003-4570,6288002811440,10.0,backup,Template row missing in dump
1733,1930,,4116621761216,,backup,Template row missing in dump
1735,1932,,6977925340419,1.25,backup,Template row missing in dump
1736,1933,060524,6926770577150,4.58,backup,Template row missing in dump
1737,1934,603132,6926633603132,2.5,backup,Template row missing in dump
1738,1935,57370,4342939057370,2.67,backup,Template row missing in dump
1739,1936,109800,6958376109800,3.33,backup,Template row missing in dump
1740,1937,10183,3944841810183,4.58,backup,Template row missing in dump
1741,1938,1018,18260513,6.08,backup,Template row missing in dump
1742,1939,309808,7295322309808,3.75,backup,Template row missing in dump
1743,1940,850038,6972497850038,6.25,backup,Template row missing in dump
1744,1941,10540,5395173310540,5.8,backup,Template row missing in dump
1745,1942,201842,3152200201842,2.9,backup,Template row missing in dump
1746,1943,51712,1929650451712,2.91,backup,Template row missing in dump
1747,1944,7079,9944185070797,0.75,backup,Template row missing in dump
1748,1945,31890,6977892731890,0.92,backup,Template row missing in dump
1749,1946,25351,5632467125351,1.0,backup,Template row missing in dump
1750,1947,309934,6972907309934,2.08,backup,Template row missing in dump
1751,1948,40400,6971335440400,0.83,backup,Template row missing in dump
1752,1949,505413,6294007505413,10.43,backup,Template row missing in dump
1753,1950,505710,6294007505710,10.43,backup,Template row missing in dump
1754,1951,504218,6294007504218,10.43,backup,Template row missing in dump
1755,1952,500142,6294007500142,10.43,backup,Template row missing in dump
1756,1953,503211,6294007503211,10.43,backup,Template row missing in dump
1757,1954,,1196148130316,,backup,Template row missing in dump
1758,1955,505215,6294007505215,10.43,backup,Template row missing in dump
1759,1956,505512,6294007505512,10.43,backup,Template row missing in dump
1760,1957,500081,6294007500081,7.5,backup,Template row missing in dump
1761,1958,501316,6294007501316,7.5,backup,Template row missing in dump
1762,1959,501323,6294007501323,4.29,backup,Template row missing in dump
1763,1960,501330,6294007501330,4.29,backup,Template row missing in dump
1764,1961,501446,6294007501446,4.29,backup,Template row missing in dump
1765,1962,51222,8901248451222,10.08,backup,Template row missing in dump
1766,1963,51147,8901248451147,10.08,backup,Template row missing in dump
1767,1964,51611,8901248451611,10.86,backup,Template row missing in dump
1768,1965,57374,8901248257374,9.21,backup,Template row missing in dump
1769,1966,51574,8901248451574,13.29,backup,Template row missing in dump
1770,1967,51260,8901248451260,10.86,backup,Template row missing in dump
1771,1968,40390,8901248240390,10.0,backup,Template row missing in dump
1772,1969,30148,8901248230148,13.93,backup,Template row missing in dump
1773,1970,502689,6294007502689,15.46,backup,Template row missing in dump
1774,1971,501989,6294007501989,12.39,backup,Template row missing in dump
1775,1972,78236,8901248478236,6.43,backup,Template row missing in dump
1776,1973,478021,8901248478021,6.43,backup,Template row missing in dump
1777,1974,37897,6291108737897,16.0,backup,Template row missing in dump
1778,1975,59684,6291107459684,15.0,backup,Template row missing in dump
1779,1976,38436,6291108738436,15.0,backup,Template row missing in dump
1780,1977,39068,6291108739068,15.0,backup,Template row missing in dump
1781,1978,38849,6291108738849,12.0,backup,Template row missing in dump
1782,1979,38597,6291108738597,12.0,backup,Template row missing in dump
1783,1980,37101,6291108737101,12.0,backup,Template row missing in dump
1784,1981,67224,6291106067224,8.0,backup,Template row missing in dump
1785,1982,67217,6291106067217,8.0,backup,Template row missing in dump
1786,1983,38610,6291108738610,15.0,backup,Template row missing in dump
1787,1984,26411,6287015126411,10.0,backup,Template row missing in dump
1788,1985,38573,6291108738573,16.0,backup,Template row missing in dump
1789,1986,38405,6291108738405,15.0,backup,Template row missing in dump
1790,1987,15086,9242092015086,4.07,backup,Template row missing in dump
1791,1988,17948,3066109417948,4.5,backup,Template row missing in dump
1792,1989,95214,040232095214,36.0,backup,Template row missing in dump
